Time : 2026-05-14T12:00:22.021Z, Method : GET, Route : /books/ 
Time : 2026-05-14T12:00:37.763Z, Method : DELETE, Route : /books/23 
Time : 2026-05-14T14:48:09.714Z, Method : GET, Route : /books/23 
Time : 2026-05-14T14:48:14.266Z, Method : GET, Route : /books/ 
Time : 2026-05-15T12:00:04.856Z, Method : GET, Route : /about 
Time : 2026-05-15T12:00:11.734Z, Method : GET, Route : / 
Time : 2026-05-15T12:00:12.771Z, Method : GET, Route : / 
Time : 2026-05-15T12:00:16.680Z, Method : GET, Route : /books 
Time : 2026-05-15T12:00:21.987Z, Method : POST, Route : /books 
Time : 2026-05-15T12:00:34.116Z, Method : PATCH, Route : /books 
Time : 2026-05-15T12:00:38.578Z, Method : GET, Route : /books 
Time : 2026-05-16T11:37:40.340Z, Method : GET, Route : /books 
Time : 2026-05-16T11:38:06.663Z, Method : GET, Route : /books 
Time : 2026-05-16T11:38:28.850Z, Method : GET, Route : /books/5 
Time : 2026-05-16T11:39:49.949Z, Method : POST, Route : /books 
Time : 2026-05-16T11:40:14.860Z, Method : POST, Route : /books 
Time : 2026-05-16T11:40:19.403Z, Method : POST, Route : /books 
Time : 2026-05-16T11:40:52.970Z, Method : DELETE, Route : /books/20 
